id,session_id,game_number,round_number,player_id,role,vote_target,correct_vote,confidence,reasons_text,vote_submitted_at,vote_submitted_local,vote_lsl_time,vote_rt_sec,confidence_submitted_at,confidence_submitted_local,confidence_lsl_time,confidence_rt_sec,reasoning_submitted_at,reasoning_submitted_local,reasoning_lsl_time,reasoning_rt_sec,submitted_at
1,S001,1,1,1,civilian,2,1,3,vague_speech,2026-07-13T00:09:50.874704,2026-07-12T20:09:50.874704-04:00,170250.6064501,3.0755,2026-07-13T00:10:08.863501,2026-07-12T20:10:08.863501-04:00,170268.5991552,4.3158,2026-07-13T00:10:33.043548,2026-07-12T20:10:33.043548-04:00,170292.7755011,16.4838,2026-07-13T00:10:33.043548
2,S001,1,1,3,civilian,3,0,4,contradiction,2026-07-13T00:09:53.971837,2026-07-12T20:09:53.971837-04:00,170253.7039059,6.1729,2026-07-13T00:10:10.695165,2026-07-12T20:10:10.695165-04:00,170270.4311298,6.1478,2026-07-13T00:10:26.719051,2026-07-12T20:10:26.719051-04:00,170286.4549376,10.1632,2026-07-13T00:10:26.719051
3,S001,1,1,4,civilian,3,0,4,contradiction,2026-07-13T00:09:56.173078,2026-07-12T20:09:56.173078-04:00,170255.9047796,8.3738,2026-07-13T00:10:12.576712,2026-07-12T20:10:12.576712-04:00,170272.3124607,8.0291,2026-07-13T00:10:24.230831,2026-07-12T20:10:24.230831-04:00,170283.9645796,7.6728,2026-07-13T00:10:24.230831
4,S001,1,1,5,civilian,4,0,5,vague_speech,2026-07-13T00:09:58.186374,2026-07-12T20:09:58.186374-04:00,170257.9195706,10.3886,2026-07-13T00:10:14.543330,2026-07-12T20:10:14.543330-04:00,170274.2754983,9.9922,2026-07-13T00:10:19.617269,2026-07-12T20:10:19.617269-04:00,170279.3544562,3.0627,2026-07-13T00:10:19.617269
5,S001,1,1,2,spy,3,0,2,hesitation,2026-07-13T00:10:02.211159,2026-07-12T20:10:02.211159-04:00,170261.9432227,14.4122,2026-07-13T00:10:06.792473,2026-07-12T20:10:06.792473-04:00,170266.5273821,2.2441,2026-07-13T00:10:22.158448,2026-07-12T20:10:22.158448-04:00,170281.8941981,5.6024,2026-07-13T00:10:22.158448
6,S001,1,2,1,civilian,1,0,3,vague_speech,2026-07-13T00:12:07.924458,2026-07-12T20:12:07.924458-04:00,170387.6592269,7.7358,2026-07-13T00:12:31.441262,2026-07-12T20:12:31.441262-04:00,170411.1757838,13.2117,2026-07-13T00:12:35.821902,2026-07-12T20:12:35.821902-04:00,170415.5574161,3.3465,2026-07-13T00:12:35.821902
7,S001,1,2,2,spy,3,0,3,too_much_detail,2026-07-13T00:12:10.809025,2026-07-12T20:12:10.809025-04:00,170390.5414652,10.6181,2026-07-13T00:12:22.563398,2026-07-12T20:12:22.563398-04:00,170402.2966207,4.3326,2026-07-13T00:12:38.403446,2026-07-12T20:12:38.403446-04:00,170418.1365189,5.9256,2026-07-13T00:12:38.403446
8,S001,1,2,3,civilian,3,0,3,contradiction,2026-07-13T00:12:12.504249,2026-07-12T20:12:12.504249-04:00,170392.2351962,12.3118,2026-07-13T00:12:24.530229,2026-07-12T20:12:24.530229-04:00,170404.26363,6.2996,2026-07-13T00:12:40.524339,2026-07-12T20:12:40.524339-04:00,170420.2721508,8.0613,2026-07-13T00:12:40.524339
9,S001,1,2,4,civilian,4,0,3,too_much_detail,2026-07-13T00:12:14.491136,2026-07-12T20:12:14.491136-04:00,170394.2402311,14.3168,2026-07-13T00:12:26.580204,2026-07-12T20:12:26.580204-04:00,170406.3143624,8.3503,2026-07-13T00:12:42.776209,2026-07-12T20:12:42.776209-04:00,170422.5092268,10.2983,2026-07-13T00:12:42.776209
10,S001,1,2,5,civilian,4,0,1,seemed_nervous,2026-07-13T00:12:16.428403,2026-07-12T20:12:16.428403-04:00,170396.160746,16.2374,2026-07-13T00:12:20.544880,2026-07-12T20:12:20.544880-04:00,170400.2787489,2.3147,2026-07-13T00:12:45.467650,2026-07-12T20:12:45.467650-04:00,170425.2026729,12.9918,2026-07-13T00:12:45.467650
