id,session_id,game_number,round_number,phase,marker,active_speaker,player_id,value,server_time_utc,server_time_local,lsl_time
1,S001,1,1,WAITING,ACTIVE_SESSION_RESET,,,new_session_requested_clean_v11,2026-07-13T00:06:53.165704,2026-07-12T20:06:53.165704-04:00,170072.8925614
2,S001,1,1,WAITING,P3_CONNECTED,,3,phase=WAITING,2026-07-13T00:06:53.306396,2026-07-12T20:06:53.306396-04:00,170073.03383
3,S001,1,1,WAITING,P4_CONNECTED,,4,phase=WAITING,2026-07-13T00:06:53.321391,2026-07-12T20:06:53.321391-04:00,170073.0487152
4,S001,1,1,WAITING,P2_CONNECTED,,2,phase=WAITING,2026-07-13T00:06:53.335848,2026-07-12T20:06:53.335848-04:00,170073.0627931
5,S001,1,1,WAITING,P5_CONNECTED,,5,phase=WAITING,2026-07-13T00:06:53.352849,2026-07-12T20:06:53.352849-04:00,170073.0797201
6,S001,1,1,WAITING,P1_CONNECTED,,1,phase=WAITING,2026-07-13T00:06:53.485142,2026-07-12T20:06:53.485142-04:00,170073.2125234
7,S001,1,1,WAITING,P001_MEDIA_READY,,1,"{""segment"": 0, ""note"": ""{\""camera\"":\""PC-LM1E (0c45:636d)\"",\""microphone\"":\""Microphone Array on SoundWire Device (3- Cirrus Logic XU)\"",\""audio_tracks\"":1,\""video_tracks\"":1}""}",2026-07-13T00:07:21.283518,2026-07-12T20:07:21.283518-04:00,170101.0108827
8,S001,1,1,WAITING,P2_DISCONNECTED,,2,last_seen_age_sec=25.2,2026-07-13T00:07:47.499062,2026-07-12T20:07:47.499062-04:00,170127.225586
9,S001,1,1,WAITING,P3_DISCONNECTED,,3,last_seen_age_sec=21.2,2026-07-13T00:07:47.507067,2026-07-12T20:07:47.507067-04:00,170127.23362
10,S001,1,1,WAITING,P4_DISCONNECTED,,4,last_seen_age_sec=16.2,2026-07-13T00:07:47.515131,2026-07-12T20:07:47.515131-04:00,170127.2418399
11,S001,1,1,WAITING,P5_DISCONNECTED,,5,last_seen_age_sec=10.2,2026-07-13T00:07:47.524946,2026-07-12T20:07:47.524946-04:00,170127.2517773
12,S001,1,1,WAITING,P3_DISCONNECTED,,3,last_seen_age_sec=21.2,2026-07-13T00:07:47.508069,2026-07-12T20:07:47.508069-04:00,170127.235254
13,S001,1,1,WAITING,P2_RECONNECTED,,2,phase=WAITING,2026-07-13T00:07:54.902304,2026-07-12T20:07:54.902304-04:00,170134.6298795
14,S001,1,1,WAITING,P3_RECONNECTED,,3,phase=WAITING,2026-07-13T00:07:57.485182,2026-07-12T20:07:57.485182-04:00,170137.2121554
15,S001,1,1,WAITING,P4_RECONNECTED,,4,phase=WAITING,2026-07-13T00:08:00.070512,2026-07-12T20:08:00.070512-04:00,170139.7975289
16,S001,1,1,WAITING,P5_RECONNECTED,,5,phase=WAITING,2026-07-13T00:08:02.109138,2026-07-12T20:08:02.109138-04:00,170141.8365114
17,S001,1,1,SESSION_START,SESSION_START,,,,2026-07-13T00:08:12.596430,2026-07-12T20:08:12.596430-04:00,170152.323127
18,S001,1,1,SESSION_START,P001_MEDIA_RECORDING_STARTED,,1,"{""segment"": 1, ""note"": ""{\""video_mime\"":\""video/webm;codecs=vp8,opus\"",\""audio_mime\"":\""audio/webm;codecs=opus\"",\""audio_tracks\"":1,\""video_tracks\"":1,\""microphone\"":\""Microphone Array on SoundWire Device (3- Cirrus Logic XU)\""}""}",2026-07-13T00:08:12.971887,2026-07-12T20:08:12.971887-04:00,170152.6988138
19,S001,1,1,GAME_READY,G1_ASSIGNMENT_CREATED,,,spy=P2;common=RIVER;spy_word=STREAM,2026-07-13T00:08:14.663527,2026-07-12T20:08:14.663527-04:00,170154.3903311
20,S001,1,1,GAME_READY,LSL_TEST_MARKER,,,manual_test,2026-07-13T00:08:29.642959,2026-07-12T20:08:29.642959-04:00,170169.369792
21,S001,1,1,GAME_READY,P2_DISCONNECTED,,2,last_seen_age_sec=5.7,2026-07-13T00:09:12.014970,2026-07-12T20:09:12.014970-04:00,170211.7419297
22,S001,1,1,GAME_READY,P2_DISCONNECTED,,2,last_seen_age_sec=5.7,2026-07-13T00:09:12.018493,2026-07-12T20:09:12.018493-04:00,170211.7452395
23,S001,1,1,GAME_READY,P3_DISCONNECTED,,3,last_seen_age_sec=5.7,2026-07-13T00:09:15.025002,2026-07-12T20:09:15.025002-04:00,170214.752693
24,S001,1,1,GAME_READY,P3_DISCONNECTED,,3,last_seen_age_sec=5.7,2026-07-13T00:09:15.030492,2026-07-12T20:09:15.030492-04:00,170214.7577397
25,S001,1,1,GAME_READY,P4_DISCONNECTED,,4,last_seen_age_sec=6.2,2026-07-13T00:09:16.541255,2026-07-12T20:09:16.541255-04:00,170216.2687593
26,S001,1,1,GAME_READY,P4_DISCONNECTED,,4,last_seen_age_sec=6.2,2026-07-13T00:09:16.545302,2026-07-12T20:09:16.545302-04:00,170216.2721506
27,S001,1,1,WORD_PHASE,G1_R1_WORD_PHASE,,,,2026-07-13T00:09:18.217936,2026-07-12T20:09:18.217936-04:00,170217.9447939
28,S001,1,1,WORD_PHASE,P2_RECONNECTED,,2,phase=WORD_PHASE,2026-07-13T00:09:20.301110,2026-07-12T20:09:20.301110-04:00,170220.028386
29,S001,1,1,WORD_PHASE,P3_RECONNECTED,,3,phase=WORD_PHASE,2026-07-13T00:09:20.329444,2026-07-12T20:09:20.329444-04:00,170220.0560974
30,S001,1,1,WORD_PHASE,P4_RECONNECTED,,4,phase=WORD_PHASE,2026-07-13T00:09:20.341245,2026-07-12T20:09:20.341245-04:00,170220.0680301
31,S001,1,1,SPEAKER_P1,G1_R1_SPEAKER_P1,1,,,2026-07-13T00:09:25.420329,2026-07-12T20:09:25.420329-04:00,170225.147426
32,S001,1,1,SPEAKER_P1,G1_R1_SPEECH_BOUNDARY_BEEP,1,1,start=P1,2026-07-13T00:09:25.425909,2026-07-12T20:09:25.425909-04:00,170225.1524281
33,S001,1,1,SPEAKER_P1,P2_DISCONNECTED,1,2,last_seen_age_sec=5.2,2026-07-13T00:09:25.458410,2026-07-12T20:09:25.458410-04:00,170225.1850081
34,S001,1,1,SPEAKER_P1,P3_DISCONNECTED,1,3,last_seen_age_sec=5.1,2026-07-13T00:09:25.478325,2026-07-12T20:09:25.478325-04:00,170225.2056912
35,S001,1,1,SPEAKER_P1,P4_DISCONNECTED,1,4,last_seen_age_sec=5.1,2026-07-13T00:09:25.487469,2026-07-12T20:09:25.487469-04:00,170225.2142769
36,S001,1,1,SPEAKER_P1,P5_DISCONNECTED,1,5,last_seen_age_sec=5.1,2026-07-13T00:09:25.525371,2026-07-12T20:09:25.525371-04:00,170225.2522504
37,S001,1,1,SPEAKER_P1,P2_DISCONNECTED,1,2,last_seen_age_sec=5.2,2026-07-13T00:09:25.460456,2026-07-12T20:09:25.460456-04:00,170225.1872651
38,S001,1,1,SPEAKER_P2,G1_R1_SPEAKER_P2,2,,,2026-07-13T00:09:35.387905,2026-07-12T20:09:35.387905-04:00,170235.1148869
39,S001,1,1,SPEAKER_P2,G1_R1_SPEECH_BOUNDARY_BEEP,2,2,start=P2,2026-07-13T00:09:35.393437,2026-07-12T20:09:35.393437-04:00,170235.1200222
40,S001,1,1,SPEAKER_P3,G1_R1_SPEAKER_P3,3,,,2026-07-13T00:09:42.496079,2026-07-12T20:09:42.496079-04:00,170242.2230982
41,S001,1,1,SPEAKER_P3,G1_R1_SPEECH_BOUNDARY_BEEP,3,3,start=P3,2026-07-13T00:09:42.502833,2026-07-12T20:09:42.502833-04:00,170242.2297543
42,S001,1,1,SPEAKER_P4,G1_R1_SPEAKER_P4,4,,,2026-07-13T00:09:45.050264,2026-07-12T20:09:45.050264-04:00,170244.7774442
43,S001,1,1,SPEAKER_P4,G1_R1_SPEECH_BOUNDARY_BEEP,4,4,start=P4,2026-07-13T00:09:45.054779,2026-07-12T20:09:45.054779-04:00,170244.7822231
44,S001,1,1,SPEAKER_P5,G1_R1_SPEAKER_P5,5,,,2026-07-13T00:09:46.582636,2026-07-12T20:09:46.582636-04:00,170246.3095852
45,S001,1,1,SPEAKER_P5,G1_R1_SPEECH_BOUNDARY_BEEP,5,5,start=P5,2026-07-13T00:09:46.589177,2026-07-12T20:09:46.589177-04:00,170246.3163843
46,S001,1,1,VOTE_PHASE,G1_R1_VOTE_PHASE,,,,2026-07-13T00:09:47.803708,2026-07-12T20:09:47.803708-04:00,170247.5309983
47,S001,1,1,VOTE_PHASE,G1_R1_SPEECH_BOUNDARY_BEEP,,5,end=P5;next=VOTE_PHASE,2026-07-13T00:09:47.812250,2026-07-12T20:09:47.812250-04:00,170247.5388383
48,S001,1,1,VOTE_PHASE,G1_R1_VOTE_SUBMIT_P1,,1,target=P2,2026-07-13T00:09:50.879202,2026-07-12T20:09:50.879202-04:00,170250.6064501
