lsl_timestamp,ch_01
170211.74191670548,"{""marker"": ""P2_DISCONNECTED"", ""lsl_time"": 170211.7419297, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""GAME_READY"", ""active_speaker"": null, ""player_id"": 2, ""value"": ""last_seen_age_sec=5.7"", ""server_time_utc"": ""2026-07-13T00:09:12.014970"", ""server_time_local"": ""2026-07-12T20:09:12.014970-04:00""}"
170211.74522650545,"{""marker"": ""P2_DISCONNECTED"", ""lsl_time"": 170211.7452395, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""GAME_READY"", ""active_speaker"": null, ""player_id"": 2, ""value"": ""last_seen_age_sec=5.7"", ""server_time_utc"": ""2026-07-13T00:09:12.018493"", ""server_time_local"": ""2026-07-12T20:09:12.018493-04:00""}"
170214.752679982,"{""marker"": ""P3_DISCONNECTED"", ""lsl_time"": 170214.752693, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""GAME_READY"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""last_seen_age_sec=5.7"", ""server_time_utc"": ""2026-07-13T00:09:15.025002"", ""server_time_local"": ""2026-07-12T20:09:15.025002-04:00""}"
170214.75772668194,"{""marker"": ""P3_DISCONNECTED"", ""lsl_time"": 170214.7577397, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""GAME_READY"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""last_seen_age_sec=5.7"", ""server_time_utc"": ""2026-07-13T00:09:15.030492"", ""server_time_local"": ""2026-07-12T20:09:15.030492-04:00""}"
170216.26874627016,"{""marker"": ""P4_DISCONNECTED"", ""lsl_time"": 170216.2687593, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""GAME_READY"", ""active_speaker"": null, ""player_id"": 4, ""value"": ""last_seen_age_sec=6.2"", ""server_time_utc"": ""2026-07-13T00:09:16.541255"", ""server_time_local"": ""2026-07-12T20:09:16.541255-04:00""}"
170216.27213757017,"{""marker"": ""P4_DISCONNECTED"", ""lsl_time"": 170216.2721506, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""GAME_READY"", ""active_speaker"": null, ""player_id"": 4, ""value"": ""last_seen_age_sec=6.2"", ""server_time_utc"": ""2026-07-13T00:09:16.545302"", ""server_time_local"": ""2026-07-12T20:09:16.545302-04:00""}"
170217.9447808571,"{""marker"": ""G1_R1_WORD_PHASE"", ""lsl_time"": 170217.9447939, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""WORD_PHASE"", ""active_speaker"": null, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-13T00:09:18.217936"", ""server_time_local"": ""2026-07-12T20:09:18.217936-04:00""}"
170220.02837294084,"{""marker"": ""P2_RECONNECTED"", ""lsl_time"": 170220.028386, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""WORD_PHASE"", ""active_speaker"": null, ""player_id"": 2, ""value"": ""phase=WORD_PHASE"", ""server_time_utc"": ""2026-07-13T00:09:20.301110"", ""server_time_local"": ""2026-07-12T20:09:20.301110-04:00""}"
170220.0560843406,"{""marker"": ""P3_RECONNECTED"", ""lsl_time"": 170220.0560974, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""WORD_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""phase=WORD_PHASE"", ""server_time_utc"": ""2026-07-13T00:09:20.329444"", ""server_time_local"": ""2026-07-12T20:09:20.329444-04:00""}"
170220.06801704052,"{""marker"": ""P4_RECONNECTED"", ""lsl_time"": 170220.0680301, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""WORD_PHASE"", ""active_speaker"": null, ""player_id"": 4, ""value"": ""phase=WORD_PHASE"", ""server_time_utc"": ""2026-07-13T00:09:20.341245"", ""server_time_local"": ""2026-07-12T20:09:20.341245-04:00""}"
170225.14741290093,"{""marker"": ""G1_R1_SPEAKER_P1"", ""lsl_time"": 170225.147426, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P1"", ""active_speaker"": 1, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-13T00:09:25.420329"", ""server_time_local"": ""2026-07-12T20:09:25.420329-04:00""}"
170225.15241500086,"{""marker"": ""G1_R1_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 170225.1524281, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P1"", ""active_speaker"": 1, ""player_id"": 1, ""value"": ""start=P1"", ""server_time_utc"": ""2026-07-13T00:09:25.425909"", ""server_time_local"": ""2026-07-12T20:09:25.425909-04:00""}"
170225.18499500063,"{""marker"": ""P2_DISCONNECTED"", ""lsl_time"": 170225.1850081, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P1"", ""active_speaker"": 1, ""player_id"": 2, ""value"": ""last_seen_age_sec=5.2"", ""server_time_utc"": ""2026-07-13T00:09:25.458410"", ""server_time_local"": ""2026-07-12T20:09:25.458410-04:00""}"
170225.18725200059,"{""marker"": ""P2_DISCONNECTED"", ""lsl_time"": 170225.1872651, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P1"", ""active_speaker"": 1, ""player_id"": 2, ""value"": ""last_seen_age_sec=5.2"", ""server_time_utc"": ""2026-07-13T00:09:25.460456"", ""server_time_local"": ""2026-07-12T20:09:25.460456-04:00""}"
170225.20567810046,"{""marker"": ""P3_DISCONNECTED"", ""lsl_time"": 170225.2056912, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P1"", ""active_speaker"": 1, ""player_id"": 3, ""value"": ""last_seen_age_sec=5.1"", ""server_time_utc"": ""2026-07-13T00:09:25.478325"", ""server_time_local"": ""2026-07-12T20:09:25.478325-04:00""}"
170225.2142638004,"{""marker"": ""P4_DISCONNECTED"", ""lsl_time"": 170225.2142769, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P1"", ""active_speaker"": 1, ""player_id"": 4, ""value"": ""last_seen_age_sec=5.1"", ""server_time_utc"": ""2026-07-13T00:09:25.487469"", ""server_time_local"": ""2026-07-12T20:09:25.487469-04:00""}"
170225.2522373001,"{""marker"": ""P5_DISCONNECTED"", ""lsl_time"": 170225.2522504, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P1"", ""active_speaker"": 1, ""player_id"": 5, ""value"": ""last_seen_age_sec=5.1"", ""server_time_utc"": ""2026-07-13T00:09:25.525371"", ""server_time_local"": ""2026-07-12T20:09:25.525371-04:00""}"
170235.11487372316,"{""marker"": ""G1_R1_SPEAKER_P2"", ""lsl_time"": 170235.1148869, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P2"", ""active_speaker"": 2, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-13T00:09:35.387905"", ""server_time_local"": ""2026-07-12T20:09:35.387905-04:00""}"
170235.1200090231,"{""marker"": ""G1_R1_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 170235.1200222, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P2"", ""active_speaker"": 2, ""player_id"": 2, ""value"": ""start=P2"", ""server_time_utc"": ""2026-07-13T00:09:35.393437"", ""server_time_local"": ""2026-07-12T20:09:35.393437-04:00""}"
170242.2230849677,"{""marker"": ""G1_R1_SPEAKER_P3"", ""lsl_time"": 170242.2230982, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P3"", ""active_speaker"": 3, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-13T00:09:42.496079"", ""server_time_local"": ""2026-07-12T20:09:42.496079-04:00""}"
170242.22974106765,"{""marker"": ""G1_R1_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 170242.2297543, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P3"", ""active_speaker"": 3, ""player_id"": 3, ""value"": ""start=P3"", ""server_time_utc"": ""2026-07-13T00:09:42.502833"", ""server_time_local"": ""2026-07-12T20:09:42.502833-04:00""}"
170244.77743094778,"{""marker"": ""G1_R1_SPEAKER_P4"", ""lsl_time"": 170244.7774442, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P4"", ""active_speaker"": 4, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-13T00:09:45.050264"", ""server_time_local"": ""2026-07-12T20:09:45.050264-04:00""}"
170244.78220984773,"{""marker"": ""G1_R1_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 170244.7822231, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P4"", ""active_speaker"": 4, ""player_id"": 4, ""value"": ""start=P4"", ""server_time_utc"": ""2026-07-13T00:09:45.054779"", ""server_time_local"": ""2026-07-12T20:09:45.054779-04:00""}"
