lsl_timestamp,ch_01
165825.40633793952,"{""marker"": ""G1_R1_WORD_PHASE"", ""lsl_time"": 165825.4063485, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""WORD_PHASE"", ""active_speaker"": null, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-12T22:56:05.679049"", ""server_time_local"": ""2026-07-12T18:56:05.679049-04:00""}"
165831.62336550234,"{""marker"": ""G1_R1_SPEAKER_P1"", ""lsl_time"": 165831.6233764, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P1"", ""active_speaker"": 1, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-12T22:56:11.896374"", ""server_time_local"": ""2026-07-12T18:56:11.896374-04:00""}"
165831.63479320172,"{""marker"": ""G1_R1_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 165831.6348041, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P1"", ""active_speaker"": 1, ""player_id"": 1, ""value"": ""start=P1"", ""server_time_utc"": ""2026-07-12T22:56:11.907413"", ""server_time_local"": ""2026-07-12T18:56:11.907413-04:00""}"
165843.1235102786,"{""marker"": ""G1_R1_SPEAKER_P2"", ""lsl_time"": 165843.1235218, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P2"", ""active_speaker"": 2, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-12T22:56:23.396053"", ""server_time_local"": ""2026-07-12T18:56:23.396053-04:00""}"
165843.12968767824,"{""marker"": ""G1_R1_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 165843.1296992, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P2"", ""active_speaker"": 2, ""player_id"": 2, ""value"": ""start=P2"", ""server_time_utc"": ""2026-07-12T22:56:23.403080"", ""server_time_local"": ""2026-07-12T18:56:23.403080-04:00""}"
165845.60266114413,"{""marker"": ""G1_R1_SPEAKER_P3"", ""lsl_time"": 165845.6026728, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P3"", ""active_speaker"": 3, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-12T22:56:25.875475"", ""server_time_local"": ""2026-07-12T18:56:25.875475-04:00""}"
165845.6082612438,"{""marker"": ""G1_R1_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 165845.6082729, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P3"", ""active_speaker"": 3, ""player_id"": 3, ""value"": ""start=P3"", ""server_time_utc"": ""2026-07-12T22:56:25.881478"", ""server_time_local"": ""2026-07-12T18:56:25.881478-04:00""}"
165847.1886435581,"{""marker"": ""G1_R1_SPEAKER_P4"", ""lsl_time"": 165847.1886553, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P4"", ""active_speaker"": 4, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-12T22:56:27.461485"", ""server_time_local"": ""2026-07-12T18:56:27.461485-04:00""}"
165847.19475035777,"{""marker"": ""G1_R1_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 165847.1947621, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P4"", ""active_speaker"": 4, ""player_id"": 4, ""value"": ""start=P4"", ""server_time_utc"": ""2026-07-12T22:56:27.468119"", ""server_time_local"": ""2026-07-12T18:56:27.468119-04:00""}"
165847.22801115597,"{""marker"": ""P2_DISCONNECTED"", ""lsl_time"": 165847.2280229, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P4"", ""active_speaker"": 4, ""player_id"": 2, ""value"": ""last_seen_age_sec=6.2"", ""server_time_utc"": ""2026-07-12T22:56:27.500727"", ""server_time_local"": ""2026-07-12T18:56:27.500727-04:00""}"
165847.22817835593,"{""marker"": ""P2_DISCONNECTED"", ""lsl_time"": 165847.2281901, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P4"", ""active_speaker"": 4, ""player_id"": 2, ""value"": ""last_seen_age_sec=6.2"", ""server_time_utc"": ""2026-07-12T22:56:27.500727"", ""server_time_local"": ""2026-07-12T18:56:27.500727-04:00""}"
165847.2469554549,"{""marker"": ""P3_DISCONNECTED"", ""lsl_time"": 165847.2469672, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P4"", ""active_speaker"": 4, ""player_id"": 3, ""value"": ""last_seen_age_sec=5.2"", ""server_time_utc"": ""2026-07-12T22:56:27.520460"", ""server_time_local"": ""2026-07-12T18:56:27.520460-04:00""}"
165848.4128356917,"{""marker"": ""G1_R1_SPEAKER_P5"", ""lsl_time"": 165848.4128475, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P5"", ""active_speaker"": 5, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-12T22:56:28.686076"", ""server_time_local"": ""2026-07-12T18:56:28.686076-04:00""}"
165848.42081969127,"{""marker"": ""G1_R1_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 165848.4208315, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SPEAKER_P5"", ""active_speaker"": 5, ""player_id"": 5, ""value"": ""start=P5"", ""server_time_utc"": ""2026-07-12T22:56:28.693594"", ""server_time_local"": ""2026-07-12T18:56:28.693594-04:00""}"
165849.5375138307,"{""marker"": ""G1_R1_VOTE_PHASE"", ""lsl_time"": 165849.5375257, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-12T22:56:29.810469"", ""server_time_local"": ""2026-07-12T18:56:29.810469-04:00""}"
165849.54513443026,"{""marker"": ""G1_R1_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 165849.5451463, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""end=P5;next=VOTE_PHASE"", ""server_time_utc"": ""2026-07-12T22:56:29.818065"", ""server_time_local"": ""2026-07-12T18:56:29.818065-04:00""}"
165849.60081712727,"{""marker"": ""P5_DISCONNECTED"", ""lsl_time"": 165849.600829, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""last_seen_age_sec=5.6"", ""server_time_utc"": ""2026-07-12T22:56:29.873159"", ""server_time_local"": ""2026-07-12T18:56:29.873159-04:00""}"
165849.6020720272,"{""marker"": ""P5_DISCONNECTED"", ""lsl_time"": 165849.6020839, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""last_seen_age_sec=5.6"", ""server_time_utc"": ""2026-07-12T22:56:29.875387"", ""server_time_local"": ""2026-07-12T18:56:29.875387-04:00""}"
165853.11221533682,"{""marker"": ""P2_RECONNECTED"", ""lsl_time"": 165853.1122274, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 2, ""value"": ""phase=VOTE_PHASE"", ""server_time_utc"": ""2026-07-12T22:56:33.385363"", ""server_time_local"": ""2026-07-12T18:56:33.385363-04:00""}"
165854.53843585946,"{""marker"": ""G1_R1_VOTE_SUBMIT_P2"", ""lsl_time"": 165854.538448, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 2, ""value"": ""target=P2"", ""server_time_utc"": ""2026-07-12T22:56:34.811334"", ""server_time_local"": ""2026-07-12T18:56:34.811334-04:00""}"
165855.05149493163,"{""marker"": ""P3_RECONNECTED"", ""lsl_time"": 165855.0515071, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""phase=VOTE_PHASE"", ""server_time_utc"": ""2026-07-12T22:56:35.324979"", ""server_time_local"": ""2026-07-12T18:56:35.324979-04:00""}"
165856.2884802645,"{""marker"": ""G1_R1_VOTE_SUBMIT_P3"", ""lsl_time"": 165856.2884925, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""target=P4"", ""server_time_utc"": ""2026-07-12T22:56:36.560960"", ""server_time_local"": ""2026-07-12T18:56:36.560960-04:00""}"
165859.2793238023,"{""marker"": ""G1_R1_VOTE_SUBMIT_P4"", ""lsl_time"": 165859.2793362, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 4, ""value"": ""target=P4"", ""server_time_utc"": ""2026-07-12T22:56:39.552341"", ""server_time_local"": ""2026-07-12T18:56:39.552341-04:00""}"
165859.91327496793,"{""marker"": ""P5_RECONNECTED"", ""lsl_time"": 165859.9132874, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""phase=VOTE_PHASE"", ""server_time_utc"": ""2026-07-12T22:56:40.185989"", ""server_time_local"": ""2026-07-12T18:56:40.185989-04:00""}"
165861.66581467286,"{""marker"": ""G1_R1_VOTE_SUBMIT_P5"", ""lsl_time"": 165861.6658272, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""target=P5"", ""server_time_utc"": ""2026-07-12T22:56:41.938303"", ""server_time_local"": ""2026-07-12T18:56:41.938303-04:00""}"
